::abbrev ରୀ. ::lcode ori ::eng Mr.
::abbrev କ. ::lcode ori ::token-category consonant
::abbrev ଖ. ::lcode ori ::token-category consonant
::abbrev ଗ. ::lcode ori ::token-category consonant
::abbrev ଘ. ::lcode ori ::token-category consonant
::abbrev ଙ. ::lcode ori ::token-category consonant
::abbrev ଚ. ::lcode ori ::token-category consonant
::abbrev ଛ. ::lcode ori ::token-category consonant
::abbrev ଜ. ::lcode ori ::token-category consonant
::abbrev ଝ. ::lcode ori ::token-category consonant
::abbrev ଞ. ::lcode ori ::token-category consonant
::abbrev ଟ. ::lcode ori ::token-category consonant
::abbrev ଠ. ::lcode ori ::token-category consonant
::abbrev ଡ. ::lcode ori ::token-category consonant
::abbrev ଢ. ::lcode ori ::token-category consonant
::abbrev ଣ. ::lcode ori ::token-category consonant
::abbrev ତ. ::lcode ori ::token-category consonant
::abbrev ଥ. ::lcode ori ::token-category consonant
::abbrev ଦ. ::lcode ori ::token-category consonant
::abbrev ଧ. ::lcode ori ::token-category consonant
::abbrev ନ. ::lcode ori ::token-category consonant
::abbrev ପ. ::lcode ori ::token-category consonant
::abbrev ଫ. ::lcode ori ::token-category consonant
::abbrev ବ. ::lcode ori ::token-category consonant
::abbrev ଵ. ::lcode ori ::token-category consonant
::abbrev ଭ. ::lcode ori ::token-category consonant
::abbrev ମ. ::lcode ori ::token-category consonant
::abbrev ଯ. ::lcode ori ::token-category consonant
::abbrev ୟ. ::lcode ori ::token-category consonant
::abbrev ର. ::lcode ori ::token-category consonant
::abbrev ଲ. ::lcode ori ::token-category consonant
::abbrev ଳ. ::lcode ori ::token-category consonant
::abbrev ୱ. ::lcode ori ::token-category consonant
::abbrev ଶ. ::lcode ori ::token-category consonant
::abbrev ଷ. ::lcode ori ::token-category consonant
::abbrev ସ. ::lcode ori ::token-category consonant
::abbrev ହ. ::lcode ori ::token-category consonant
